database,mechanism,eps,delta,util_n,naive_n,adapt_n,util_mean,util_std,naive_mean,naive_std,adapt_mean,adapt_std,gap
ecgid,gaussian_analytic,0.05,1e-05,3,8,8,0.26014357221879353,0.13354312021869363,0.04702012383900929,0.023924404910177097,0.06517027863777089,0.0007213403993940743,0.0181501547987616
ecgid,gaussian_analytic,0.1,1e-05,3,8,8,0.5133212399899408,0.05572577392659362,0.06102941176470589,0.01039862913509629,0.06462848297213623,0.0005167324832175119,0.003599071207430346
ecgid,gaussian_analytic,0.15,1e-05,8,8,8,0.6377282501822024,0.034326685654788455,0.06102941176470589,0.01039862913509629,0.06544117647058825,0.0012487130563366955,0.004411764705882365
ecgid,gaussian_analytic,0.175,1e-05,3,8,8,0.6310481111852335,0.00522179165564521,0.06474458204334366,0.00010945925405364345,0.07004643962848298,0.004659417010307246,0.005301857585139319
ecgid,gaussian_analytic,0.2,1e-05,8,8,8,0.6728936369999883,0.019405624286260317,0.06470588235294118,0.0,0.07078173374613003,0.004633446739917557,0.00607585139318885
ecgid,gaussian_analytic,0.225,1e-05,8,8,8,0.6826708684983758,0.023997607959981092,0.05835913312693499,0.012404891542691839,0.07856037151702785,0.006623092519151052,0.020201238390092864
ecgid,gaussian_analytic,0.25,1e-05,8,8,8,0.695719088876874,0.024811804792837584,0.04891640866873065,0.019821150940365396,0.07689628482972136,0.012478560710896848,0.027979876160990708
ecgid,gaussian_analytic,0.3,1e-05,8,8,8,0.7184274806516537,0.05671896859374451,0.06474458204334366,0.00010945925405364345,0.09748452012383901,0.015197276701003229,0.03273993808049536
ecgid,gaussian_analytic,0.35,1e-05,8,8,8,0.730444664779343,0.05241712845981346,0.05824303405572756,0.012282242521755343,0.13003095975232198,0.01942479954165069,0.07178792569659442
ecgid,gaussian_analytic,0.4,1e-05,8,8,8,0.7475441954827409,0.033799429795845375,0.0633513931888545,0.004513689506551329,0.12910216718266254,0.017729503172748563,0.06575077399380805
ecgid,gaussian_analytic,0.5,1e-05,8,8,8,0.753613308623193,0.029247621558828336,0.04655572755417957,0.022390275796926342,0.17856037151702786,0.01955950107401732,0.13200464396284828
ecgid,gaussian_analytic,0.75,1e-05,8,8,8,0.8187291110298168,0.03905628268244834,0.06590557275541797,0.001816119081613642,0.26033281733746133,0.02749195997580982,0.19442724458204336
ecgid,gaussian_analytic,1.0,1e-05,3,8,8,0.8500162262486461,0.024916236095377492,0.07407120743034057,0.008549041034974659,0.3771671826625387,0.03006934992899096,0.3030959752321981
ecgid,gaussian_analytic,1.5,1e-05,3,8,8,0.904920020569408,0.05847588730239942,0.06880804953560372,0.016794060501691042,0.4665247678018576,0.03605693403085594,0.3977167182662539
ecgid,gaussian_analytic,2.0,1e-05,3,8,8,0.9230670819959165,0.0016105060547976081,0.07321981424148608,0.009196066461471577,0.5302244582043344,0.040959224956430215,0.45700464396284834
ecgid,gaussian_analytic,4.0,1e-05,3,8,8,0.9595717127612957,0.011790841242959964,0.07190402476780186,0.013649153282296522,0.6261609907120743,0.037300674346379015,0.5542569659442724
ecgid,gaussian_analytic,8.0,1e-05,3,8,8,0.9623594625000899,0.028375182083374154,0.14411764705882352,0.09544918682732616,0.6631578947368422,0.017902433039515032,0.5190402476780187
ecgid,gaussian_analytic,20.0,1e-05,3,8,8,0.951096059964855,0.016106457065557175,0.20506965944272446,0.11122499926478895,0.6699303405572756,0.02660297417132327,0.46486068111455114
ecgid,laplace,0.05,0.0,3,8,8,0.5448667346303266,0.10585122017848021,0.047561919504643974,0.022388441048511346,0.0648606811145511,0.00033097367419495234,0.01729876160990712
ecgid,laplace,0.1,0.0,3,8,8,0.7011784534646196,0.029943289003741606,0.06253869969040249,0.006005599171904306,0.08339783281733745,0.011065288840049252,0.020859133126934964
ecgid,laplace,0.15,0.0,8,8,8,0.7592947759416968,0.054256262724430744,0.05739164086687307,0.013639305746484517,0.1256578947368421,0.022048559419016456,0.06826625386996904
ecgid,laplace,0.175,0.0,3,8,8,0.7486054581580852,0.02145707735091106,0.06102941176470589,0.01039862913509629,0.15890092879256967,0.02941234665035676,0.09787151702786379
ecgid,laplace,0.2,0.0,8,8,8,0.7434878632389611,0.03412609878745722,0.056462848297213625,0.011929910964255056,0.1779798761609907,0.03560907503451243,0.12151702786377708
ecgid,laplace,0.225,0.0,8,8,8,0.784743540882413,0.03047940669503441,0.050928792569659445,0.02044415571306535,0.20294117647058824,0.024541201364431345,0.1520123839009288
ecgid,laplace,0.25,0.0,8,8,8,0.7969406253902399,0.02860921742953852,0.05909442724458205,0.01877560116946516,0.21191950464396284,0.027552440199736215,0.15282507739938078
ecgid,laplace,0.3,0.0,8,8,8,0.8198210290925756,0.031244887390113905,0.05921052631578947,0.018334530078555383,0.2717105263157895,0.026189795164996137,0.21250000000000005
ecgid,laplace,0.35,0.0,8,8,8,0.8440874921089647,0.026791519612844896,0.06582817337461301,0.015080144095818626,0.307469040247678,0.024563195956037825,0.24164086687306502
