dataset,attribute,mechanism,eps,subject_acc,subject_std,window_acc,floor
ecgid,age,gaussian_analytic,0.05,0.5,0.0,0.6378,0.6378
ecgid,age,gaussian_analytic,0.1,0.5,0.0,0.6378,0.6378
ecgid,age,gaussian_analytic,0.15,0.5,0.0,0.6378,0.6378
ecgid,age,gaussian_analytic,0.175,0.5,0.0,0.6378,0.6378
ecgid,age,gaussian_analytic,0.2,0.5,0.0,0.63835,0.6378
ecgid,age,gaussian_analytic,0.225,0.5,0.0,0.63793,0.6378
ecgid,age,gaussian_analytic,0.25,0.5,0.0,0.63793,0.6378
ecgid,age,gaussian_analytic,0.35,0.5,0.0,0.63821,0.6378
ecgid,age,gaussian_analytic,0.4,0.5,0.0,0.63807,0.6378
ecgid,age,gaussian_analytic,0.5,0.5,0.0,0.6378,0.6378
ecgid,age,gaussian_analytic,0.75,0.5,0.0,0.63849,0.6378
ecgid,age,gaussian_analytic,1.0,0.5,0.0,0.63807,0.6378
ecgid,age,gaussian_analytic,1.5,0.49074,0.01604,0.63862,0.6378
ecgid,age,gaussian_analytic,2.0,0.5,0.0,0.63876,0.6378
ecgid,age,gaussian_analytic,4.0,0.53704,0.06415,0.64595,0.6378
ecgid,age,gaussian_analytic,8.0,0.50926,0.04243,0.64567,0.6378
ecgid,age,gaussian_analytic,20.0,0.5,0.0,0.63821,0.6378
ecgid,age,laplace,0.05,0.5,0.0,0.63807,0.6378
ecgid,age,laplace,0.1,0.5,0.0,0.6378,0.6378
ecgid,age,laplace,0.15,0.5,0.0,0.63793,0.6378
ecgid,age,laplace,0.175,0.5,0.0,0.63835,0.6378
ecgid,age,laplace,0.2,0.5,0.0,0.6378,0.6378
ecgid,age,laplace,0.225,0.5,0.0,0.64194,0.6378
ecgid,age,laplace,0.25,0.5,0.0,0.63862,0.6378
ecgid,age,laplace,0.35,0.5,0.0,0.63862,0.6378
ecgid,age,laplace,0.4,0.5,0.0,0.63862,0.6378
ecgid,age,laplace,0.5,0.50926,0.01604,0.64097,0.6378
ecgid,age,laplace,0.75,0.5,0.0,0.63849,0.6378
ecgid,age,laplace,1.0,0.5,0.0,0.63904,0.6378
ecgid,age,laplace,1.5,0.5,0.0,0.64083,0.6378
ecgid,age,laplace,2.0,0.51852,0.04243,0.64111,0.6378
ecgid,age,laplace,4.0,0.5,0.0,0.63752,0.6378
ecgid,age,laplace,8.0,0.49074,0.01604,0.63075,0.6378
ecgid,age,laplace,20.0,0.5,0.0,0.6378,0.6378
ecgid,age,laplace_bounded,0.05,0.5,0.0,0.63821,0.6378
ecgid,age,laplace_bounded,0.1,0.5,0.0,0.63904,0.6378
ecgid,age,laplace_bounded,0.15,0.5,0.0,0.63959,0.6378
ecgid,age,laplace_bounded,0.175,0.5,0.0,0.63835,0.6378
ecgid,age,laplace_bounded,0.2,0.5,0.0,0.63904,0.6378
ecgid,age,laplace_bounded,0.225,0.5,0.0,0.63973,0.6378
ecgid,age,laplace_bounded,0.25,0.5,0.0,0.63973,0.6378
ecgid,age,laplace_bounded,0.35,0.5,0.0,0.6389,0.6378
ecgid,age,laplace_bounded,0.4,0.50926,0.01604,0.64042,0.6378
ecgid,age,laplace_bounded,0.5,0.5,0.0,0.63793,0.6378
ecgid,age,laplace_bounded,0.75,0.5,0.0,0.6378,0.6378
ecgid,age,laplace_bounded,1.0,0.49074,0.01604,0.64028,0.6378
ecgid,age,laplace_bounded,1.5,0.50926,0.01604,0.64042,0.6378
ecgid,age,laplace_bounded,2.0,0.5,0.0,0.63738,0.6378
ecgid,age,laplace_bounded,4.0,0.50926,0.01604,0.63517,0.6378
ecgid,age,laplace_bounded,8.0,0.5,0.0,0.63006,0.6378
ecgid,age,laplace_bounded,20.0,0.5,0.02778,0.63489,0.6378
ecgid,sex,gaussian_analytic,0.05,0.47222,0.0,0.59055,0.59055
ecgid,sex,gaussian_analytic,0.1,0.47222,0.0,0.59055,0.59055
ecgid,sex,gaussian_analytic,0.15,0.4537,0.03208,0.56859,0.59055
ecgid,sex,gaussian_analytic,0.175,0.47222,0.0,0.59055,0.59055
ecgid,sex,gaussian_analytic,0.2,0.47222,0.0,0.59069,0.59055
ecgid,sex,gaussian_analytic,0.225,0.47222,0.0,0.59097,0.59055
ecgid,sex,gaussian_analytic,0.25,0.47222,0.0,0.59055,0.59055
ecgid,sex,gaussian_analytic,0.35,0.47222,0.0,0.58627,0.59055
ecgid,sex,gaussian_analytic,0.4,0.49074,0.03208,0.5911,0.59055
ecgid,sex,gaussian_analytic,0.5,0.47222,0.0,0.59097,0.59055
ecgid,sex,gaussian_analytic,0.75,0.5,0.04811,0.59691,0.59055
ecgid,sex,gaussian_analytic,1.0,0.51852,0.08019,0.60892,0.59055
ecgid,sex,gaussian_analytic,1.5,0.56481,0.08486,0.63614,0.59055
ecgid,sex,gaussian_analytic,2.0,0.61111,0.05556,0.66515,0.59055
ecgid,sex,gaussian_analytic,4.0,0.64815,0.10516,0.68131,0.59055
ecgid,sex,gaussian_analytic,8.0,0.67593,0.01604,0.71571,0.59055
ecgid,sex,gaussian_analytic,20.0,0.71296,0.06415,0.74458,0.59055
ecgid,sex,laplace,0.05,0.47222,0.0,0.59069,0.59055
ecgid,sex,laplace,0.1,0.47222,0.0,0.59235,0.59055
ecgid,sex,laplace,0.15,0.47222,0.0,0.59193,0.59055
ecgid,sex,laplace,0.175,0.47222,0.0,0.59704,0.59055
ecgid,sex,laplace,0.2,0.50926,0.06415,0.59414,0.59055
ecgid,sex,laplace,0.225,0.47222,0.0,0.59856,0.59055
ecgid,sex,laplace,0.25,0.50926,0.06415,0.60367,0.59055
ecgid,sex,laplace,0.35,0.53704,0.05782,0.61113,0.59055
ecgid,sex,laplace,0.4,0.57407,0.09755,0.62826,0.59055
ecgid,sex,laplace,0.5,0.49074,0.03208,0.60409,0.59055
ecgid,sex,laplace,0.75,0.5463,0.03208,0.63904,0.59055
ecgid,sex,laplace,1.0,0.7037,0.01604,0.6744,0.59055
ecgid,sex,laplace,1.5,0.66667,0.05556,0.68684,0.59055
ecgid,sex,laplace,2.0,0.67593,0.06991,0.70203,0.59055
ecgid,sex,laplace,4.0,0.75926,0.01604,0.71999,0.59055
ecgid,sex,laplace,8.0,0.71296,0.06991,0.71322,0.59055
ecgid,sex,laplace,20.0,0.68519,0.08929,0.70659,0.59055
ecgid,sex,laplace_bounded,0.05,0.47222,0.0,0.59069,0.59055
ecgid,sex,laplace_bounded,0.1,0.47222,0.0,0.5911,0.59055
ecgid,sex,laplace_bounded,0.15,0.47222,0.0,0.59097,0.59055
ecgid,sex,laplace_bounded,0.175,0.47222,0.0,0.59179,0.59055
ecgid,sex,laplace_bounded,0.2,0.51852,0.08019,0.59843,0.59055
ecgid,sex,laplace_bounded,0.225,0.47222,0.0,0.59249,0.59055
ecgid,sex,laplace_bounded,0.25,0.50926,0.03208,0.59773,0.59055
ecgid,sex,laplace_bounded,0.35,0.58333,0.04811,0.61528,0.59055
ecgid,sex,laplace_bounded,0.4,0.5463,0.04243,0.62716,0.59055
ecgid,sex,laplace_bounded,0.5,0.62963,0.13127,0.64885,0.59055
ecgid,sex,laplace_bounded,0.75,0.63889,0.04811,0.66584,0.59055
ecgid,sex,laplace_bounded,1.0,0.64815,0.04243,0.67979,0.59055
ecgid,sex,laplace_bounded,1.5,0.64815,0.05782,0.67675,0.59055
ecgid,sex,laplace_bounded,2.0,0.72222,0.02778,0.703,0.59055
ecgid,sex,laplace_bounded,4.0,0.62963,0.04243,0.68849,0.59055
ecgid,sex,laplace_bounded,8.0,0.59259,0.03208,0.66998,0.59055
ecgid,sex,laplace_bounded,20.0,0.71296,0.08929,0.71778,0.59055
mitbih,sex,gaussian_analytic,0.05,0.52632,0.0,0.51569,0.52632
mitbih,sex,gaussian_analytic,0.1,0.52632,0.0,0.52074,0.52632
mitbih,sex,gaussian_analytic,0.15,0.52632,0.0,0.52513,0.52632
mitbih,sex,gaussian_analytic,0.175,0.52632,0.0,0.52313,0.52632
mitbih,sex,gaussian_analytic,0.2,0.52632,0.0,0.52289,0.52632
mitbih,sex,gaussian_analytic,0.225,0.52632,0.0,0.51486,0.52632
mitbih,sex,gaussian_analytic,0.25,0.52632,0.0,0.51536,0.52632
mitbih,sex,gaussian_analytic,0.35,0.5614,0.03039,0.52239,0.52632
mitbih,sex,gaussian_analytic,0.4,0.59649,0.03039,0.53047,0.52632
mitbih,sex,gaussian_analytic,0.5,0.61404,0.03039,0.56345,0.52632
mitbih,sex,gaussian_analytic,0.75,0.64912,0.03039,0.59086,0.52632
mitbih,sex,gaussian_analytic,1.0,0.7193,0.06077,0.61006,0.52632
mitbih,sex,gaussian_analytic,1.5,0.66667,0.03039,0.61655,0.52632
