database,mechanism,eps,delta,adapt_mean,adapt_std,dn_mean,dn_std,gain,gain_std
mitbih,gaussian_analytic,0.05,1e-05,0.04666,0.00056,0.05031,0.00202,0.00365,0.0021
mitbih,gaussian_analytic,0.1,1e-05,0.05696,0.00287,0.06411,0.00506,0.00715,0.00582
mitbih,gaussian_analytic,0.15,1e-05,0.09593,0.00524,0.11526,0.00785,0.01933,0.00944
mitbih,gaussian_analytic,0.175,1e-05,0.13173,0.00463,0.16004,0.00284,0.02831,0.00543
mitbih,gaussian_analytic,0.2,1e-05,0.16815,0.01052,0.20671,0.00303,0.03855,0.01095
mitbih,gaussian_analytic,0.225,1e-05,0.21324,0.0025,0.25011,0.00458,0.03687,0.00522
mitbih,gaussian_analytic,0.25,1e-05,0.2599,0.01486,0.30407,0.00656,0.04416,0.01625
mitbih,gaussian_analytic,0.35,1e-05,0.45331,0.00827,0.48345,0.00793,0.03013,0.01146
mitbih,gaussian_analytic,0.4,1e-05,0.51866,0.01433,0.56361,0.00464,0.04495,0.01506
mitbih,gaussian_analytic,0.5,1e-05,0.63855,0.01326,0.66916,0.00562,0.03061,0.0144
mitbih,gaussian_analytic,0.75,1e-05,0.77868,0.00786,0.80525,0.00426,0.02657,0.00895
mitbih,gaussian_analytic,1.0,1e-05,0.84425,0.00237,0.86512,0.00072,0.02088,0.00248
mitbih,gaussian_analytic,2.0,1e-05,0.93883,0.00331,0.94458,0.00773,0.00575,0.00841
mitbih,gaussian_analytic,4.0,1e-05,0.96462,0.00675,0.9679,0.00207,0.00328,0.00705
mitbih,gaussian_analytic,20.0,1e-05,0.97478,0.00607,0.97941,0.00861,0.00463,0.01053
mitbih,laplace,0.05,0.0,0.06751,0.00642,0.07256,0.00288,0.00505,0.00704
mitbih,laplace,0.1,0.0,0.31521,0.00239,0.29063,0.00727,-0.02458,0.00765
mitbih,laplace,0.15,0.0,0.53305,0.01442,0.52489,0.00588,-0.00816,0.01557
mitbih,laplace,0.175,0.0,0.60699,0.01228,0.6142,0.01227,0.00721,0.01735
mitbih,laplace,0.2,0.0,0.67382,0.01261,0.67907,0.00945,0.00525,0.01576
mitbih,laplace,0.225,0.0,0.7243,0.01086,0.7204,0.00698,-0.0039,0.01292
mitbih,laplace,0.25,0.0,0.75227,0.00229,0.76428,0.00455,0.01201,0.0051
mitbih,laplace,0.35,0.0,0.84492,0.01032,0.84745,0.00421,0.00253,0.01115
mitbih,laplace,0.4,0.0,0.87449,0.01171,0.87811,0.00562,0.00362,0.01299
mitbih,laplace,0.5,0.0,0.89733,0.01268,0.90735,0.00441,0.01002,0.01342
mitbih,laplace,0.75,0.0,0.93513,0.00364,0.94745,0.00349,0.01232,0.00504
mitbih,laplace,1.0,0.0,0.9553,0.00365,0.95903,0.00495,0.00373,0.00615
mitbih,laplace,2.0,0.0,0.97637,0.005,0.97396,0.00409,-0.00241,0.00646
mitbih,laplace,4.0,0.0,0.98056,0.00103,0.98373,0.00084,0.00317,0.00133
mitbih,laplace,20.0,0.0,0.97952,0.00236,0.98768,0.00236,0.00816,0.00333
mitbih,laplace_bounded,0.05,1e-05,0.07054,0.00507,0.07464,0.0033,0.0041,0.00605
mitbih,laplace_bounded,0.1,1e-05,0.30536,0.00515,0.28558,0.00328,-0.01978,0.00611
mitbih,laplace_bounded,0.15,1e-05,0.53064,0.00766,0.52926,0.00838,-0.00137,0.01135
mitbih,laplace_bounded,0.175,1e-05,0.61479,0.01732,0.60337,0.0041,-0.01142,0.0178
mitbih,laplace_bounded,0.2,1e-05,0.68813,0.00835,0.67517,0.00711,-0.01296,0.01097
mitbih,laplace_bounded,0.225,1e-05,0.72716,0.00638,0.72278,0.00981,-0.00438,0.0117
mitbih,laplace_bounded,0.25,1e-05,0.76582,0.00309,0.75915,0.00462,-0.00668,0.00556
mitbih,laplace_bounded,0.3,1e-05,0.79604,0.00695,0.81403,0.00174,0.01799,0.00717
mitbih,laplace_bounded,0.35,1e-05,0.84248,0.01159,0.84997,0.0016,0.00749,0.0117
mitbih,laplace_bounded,0.4,1e-05,0.85654,0.00759,0.87713,0.00536,0.02059,0.00929
mitbih,laplace_bounded,0.5,1e-05,0.90008,0.0091,0.91184,0.00337,0.01176,0.00971
mitbih,laplace_bounded,0.75,1e-05,0.93858,0.00939,0.94386,0.00438,0.00527,0.01036
mitbih,laplace_bounded,1.0,1e-05,0.95224,0.00977,0.958,0.00621,0.00575,0.01158
mitbih,laplace_bounded,2.0,1e-05,0.97548,0.00342,0.97461,0.00525,-0.00087,0.00627
