mechanism,eps,macro_f1,macro_f1_std,model
gaussian_analytic,0.05,0.26014,0.13354,seq2seq
gaussian_analytic,0.1,0.51332,0.05573,seq2seq
gaussian_analytic,0.15,0.63773,0.03433,seq2seq
gaussian_analytic,0.175,0.63105,0.00522,seq2seq
gaussian_analytic,0.2,0.67289,0.01941,seq2seq
gaussian_analytic,0.225,0.68627,0.01263,seq2seq
gaussian_analytic,0.25,0.69572,0.02481,seq2seq
gaussian_analytic,0.3,0.71843,0.05672,seq2seq
gaussian_analytic,0.35,0.73044,0.05242,seq2seq
gaussian_analytic,0.4,0.74754,0.0338,seq2seq
gaussian_analytic,0.5,0.75361,0.02925,seq2seq
gaussian_analytic,0.75,0.81873,0.03906,seq2seq
gaussian_analytic,1.0,0.85002,0.02492,seq2seq
gaussian_analytic,1.5,0.90492,0.05848,seq2seq
gaussian_analytic,2.0,0.92307,0.00161,seq2seq
gaussian_analytic,4.0,0.95957,0.01179,seq2seq
gaussian_analytic,8.0,0.96236,0.02838,seq2seq
gaussian_analytic,20.0,0.9511,0.01611,seq2seq
laplace,0.05,0.54487,0.10585,seq2seq
laplace,0.1,0.70118,0.02994,seq2seq
laplace,0.15,0.75929,0.05426,seq2seq
laplace,0.175,0.74861,0.02146,seq2seq
laplace,0.2,0.74349,0.03413,seq2seq
laplace,0.225,0.77006,0.03786,seq2seq
laplace,0.25,0.79694,0.02861,seq2seq
laplace,0.3,0.81982,0.03124,seq2seq
laplace,0.35,0.84409,0.02679,seq2seq
laplace,0.4,0.8453,0.03213,seq2seq
laplace,0.5,0.87757,0.02088,seq2seq
laplace,0.75,0.9285,0.01783,seq2seq
laplace,1.0,0.9358,0.03135,seq2seq
laplace,1.5,0.96948,0.0057,seq2seq
laplace,2.0,0.94906,0.01166,seq2seq
laplace,4.0,0.96858,0.01186,seq2seq
laplace,8.0,0.95332,0.02136,seq2seq
laplace,20.0,0.96529,0.00906,seq2seq
laplace_bounded,0.05,0.53603,0.13867,seq2seq
laplace_bounded,0.1,0.67525,0.04592,seq2seq
laplace_bounded,0.15,0.73915,0.02733,seq2seq
laplace_bounded,0.175,0.71061,0.01989,seq2seq
laplace_bounded,0.2,0.76273,0.02058,seq2seq
laplace_bounded,0.225,0.7855,0.00843,seq2seq
laplace_bounded,0.25,0.79583,0.02522,seq2seq
laplace_bounded,0.3,0.81817,0.0229,seq2seq
laplace_bounded,0.35,0.82929,0.03187,seq2seq
laplace_bounded,0.4,0.85795,0.04099,seq2seq
laplace_bounded,0.5,0.86275,0.02776,seq2seq
laplace_bounded,0.75,0.90836,0.03322,seq2seq
